slug,name,lat,lon,doyenne_declared,doyenne_real_geo,doyenne_mismatch,pieve_declared,pieve_real_geo,pieve_mismatch,in_corse_bbox,axe_corpus,note
santa_reparata_montemaggiore,Santa Reparata (Montemaggiore),42.52,8.82,doyenne_du_golo,doyenne_balagne,TRUE,pieve_casacconi,pieve_balagne,TRUE,TRUE,edifices_romans,
santa_reparata_morosaglia,Santa Reparata (Morosaglia),42.42,9.2,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_rostino,pieve_rostino,FALSE,TRUE,edifices_romans,
santa_reparata_penta_acquatella,Santa Reparata (Penta-Acquatella),42.415,9.455,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_casacconi,pieve_tavagna,TRUE,TRUE,edifices_romans,
santa_reparata_santa_reparata_di_moriani,Santa Reparata (Santa-Reparata-di-Moriani),42.39,9.52,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_moriani,pieve_moriani,FALSE,TRUE,edifices_romans,
santa_restituda_meria_vico_interieur,Santa Restituda (Meria (Vico intérieur)),42.185,8.875,doyenne_du_cap,doyenne_piana_vico_sari,TRUE,pieve_luri,pieve_sorroinsu,TRUE,TRUE,edifices_romans,
santa_restitude_corte_niolu_versant,Santa Restitude (Corte (Niolu versant)),42.318,8.982,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_talcini,pieve_niolu,TRUE,TRUE,edifices_romans,
santa_restituta_belgodere_haute,Santa Restituta (Belgodère haute),42.51,8.882,doyenne_balagne,doyenne_balagne,FALSE,pieve_balagne,pieve_balagne,FALSE,TRUE,edifices_romans,
santa_restuda_restituda_calenzana,Santa Restuda / Restituda (Calenzana),42.54,8.79,doyenne_balagne,doyenne_balagne,FALSE,pieve_balagne,pieve_balagne,FALSE,TRUE,edifices_romans,
scalsa_murta,Scalsa Murta,41.717,8.919,,doyenne_prunelli_taravo_valinco,FALSE,,pieve_istria,FALSE,TRUE,megalithes,
sources_de_guitera,Sources de Guitera,41.827,9.019,,doyenne_prunelli_taravo_valinco,FALSE,,pieve_istria,FALSE,TRUE,patrimoine_divers,
sposata_menhir_penche,Sposata (menhir penché),41.536,8.918,,doyenne_extreme_sud,FALSE,,pieve_sartene,FALSE,TRUE,megalithes,
stantara_d_apricciani,Stantara d'Apricciani,42.1,8.72,,doyenne_piana_vico_sari,FALSE,,pieve_cinarca,FALSE,TRUE,megalithes,
statue_menhir_santa_naria,Statue-menhir Santa Naria,41.759,8.877,,doyenne_prunelli_taravo_valinco,FALSE,,pieve_istria,FALSE,TRUE,megalithes,
statue_menhir_tavera,Statue-menhir de Tavera,42.0692,8.9867,doyenne_ajaccio,doyenne_ajaccio,FALSE,pieve_celavo,pieve_celavo,FALSE,TRUE,megalithes,
statues_menhirs_de_sagone,Statues-menhirs de Sagone,42.116,8.693,,doyenne_piana_vico_sari,FALSE,,pieve_vico,FALSE,TRUE,megalithes,
stazzona_di_u_diavulu_menhirs,Stazzona di u Diavulu (menhirs),41.545,8.91,doyenne_du_golo,doyenne_extreme_sud,TRUE,pieve_orezza,pieve_sartene,TRUE,TRUE,megalithes,
tappa_torre,Tappa torre,41.5522,9.2306,,doyenne_extreme_sud,FALSE,,pieve_carbini,FALSE,TRUE,megalithes,
terrina_aleria,Terrina (Aléria),42.098,9.499,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_aleria,pieve_aleria,FALSE,TRUE,megalithes,
thermes_de_baracci,Thermes de Baracci,41.705,8.898,,doyenne_prunelli_taravo_valinco,FALSE,,pieve_istria,FALSE,TRUE,patrimoine_divers,
timozzolo_menhirs,Timozzolo menhirs,41.6087,8.8778,,doyenne_extreme_sud,FALSE,,pieve_sartene,FALSE,TRUE,megalithes,
tivulaggio_alignement,Tivulaggio alignement,41.57,8.895,,doyenne_extreme_sud,FALSE,,pieve_sartene,FALSE,TRUE,megalithes,
tizzarella_menhirs,Tizzarella menhirs,41.692,8.915,,doyenne_prunelli_taravo_valinco,FALSE,,pieve_istria,FALSE,TRUE,megalithes,
torre_de_tozzu_torre_de_tusiu,Torre de Tozzu / Torre de Tusiu,41.75,9.085,,doyenne_extreme_sud,FALSE,,pieve_verde,FALSE,TRUE,megalithes,
tour_d_agnello_cap_corse,Tour d'Agnello (Cap Corse),42.973,9.355,,doyenne_du_cap,FALSE,,pieve_pino,FALSE,TRUE,tours_genoises,
tour_d_erbalunga_brando,Tour d'Erbalunga (Brando),42.627,9.497,doyenne_du_cap,,FALSE,pieve_brando,,FALSE,TRUE,tours_genoises,doyenne_geo_NONE; pieve_geo_NONE
