Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;VIERZL42ZCHAG;LIAISON 90kV N0 2 CHAGNOT - MARMAGNE - VIERZON;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;GAUDIL61LIVIE;LIAISON 225kV N0 1 LA GAUDIERE - LIVIERE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GAUDIL61LIVIE;LIAISON 225kV N0 1 LA GAUDIERE - LIVIERE;EN EXPLOITATION;225kV;RTE;2;GAUDIL61LIVIE;LIAISON 225kV N0 1 LA GAUDIERE - LIVIERE;;;;;;
AERIEN;LACQ L32ZLAC5;LIAISON 63kV N0 2 LACQ (S.N.C.F.) - MARSILLON - ORTHEZ;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;DAMBRL42TIVER;LIAISON 90kV N0 2 DAMBRON-TIVERNON;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;DAMBRL41ZB.PR;LIAISON 90kV N0 1 DAMBRON - VOVES - BOIS PRINCE (LE);EN EXPLOITATION;90kV;RTE;2;DAMBRL42TIVER;LIAISON 90kV N0 2 DAMBRON-TIVERNON;;;;;;
AERIEN;VIZILL31ZP.VI;LIAISON 63kV N0 1 EYBENS-PEAGE-DE-VIZILLE-VIZILLE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;LUGRAL31TOUR6;LIAISON 63kV N0 1 LUGRA - TOURNAY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;ARNAGL41ZG.LU;LIAISON 90kV N0 1 ARNAGE - GRAND LUCE - ST-CALAIS;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;S.COML31ZS.CO;LIAISON 63kV N0 1 MOINGT-ST-JUST (-SUR-LOIRE)-SURY-LE-COMTAL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CHOO5L31GIVET;LIAISON 63kV N0 1 CHOOZ-GIVET;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;FOUSCL31SANGO;LIAISON 63kV N0 1 FOUSCAIS-SANGONIS;EN EXPLOITATION;63kV;RTE;2;LODEVL31SANGO;LIAISON 63kV N0 1 LODEVE-SANGONIS;;;;;;
AERIEN;BOUFFL41SSBOU;LIAISON 90kV N0 1 BOUFFERE-ST-PHILBERT-DE-BOUAINE;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;E.BOTL61MAZAR;LIAISON 225kV N0 1 ENCO-DE-BOTTE-MAZARGUES;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;MEXY L31MOULA;LIAISON 63kV N0 1 MEXY-MOULAINE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;PASSYL61PRESS;LIAISON 225kV N0 1 PASSY-PRESSY;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;NAOUTL31ZB.L5;LIAISON 63kV N0 1AIRE/ADOUR-BORDERES et LAMENSANS-NAOUTOT;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
