statut;geo_point_2d;geo_shape
En exploitation;42.59632284809433, 9.497469434475459;"{""coordinates"": [[9.4975232, 42.5963957], [9.497419, 42.5963389], [9.4975137, 42.5962372], [9.4975171, 42.5962335]], ""type"": ""LineString""}"
En exploitation;42.624099450554084, 9.428983798326843;"{""coordinates"": [[9.4291722, 42.6240662], [9.4291591, 42.624058], [9.4291326, 42.6240415], [9.4288765, 42.6241566], [9.4288113, 42.6240922], [9.4288104, 42.6240913], [9.4288077, 42.6240887]], ""type"": ""LineString""}"
En exploitation;42.59678216329742, 9.497273076794427;"{""coordinates"": [[9.4974246, 42.5966999], [9.497372, 42.5967104], [9.4973011, 42.5967528], [9.49729, 42.5968167], [9.4971148, 42.5968363], [9.4971118, 42.5968367], [9.4971089, 42.596837]], ""type"": ""LineString""}"
En exploitation;42.62416760754118, 9.428800067015683;"{""coordinates"": [[9.4288077, 42.6240887], [9.4288522, 42.6241581], [9.4287359, 42.6242104], [9.4287384, 42.6242329], [9.4287389, 42.6242373]], ""type"": ""LineString""}"
En exploitation;42.5965096524881, 9.497170512719169;"{""coordinates"": [[9.497385, 42.5966843], [9.4970174, 42.5964632], [9.4971641, 42.5963547], [9.4972054, 42.5963869], [9.4972178, 42.5963965]], ""type"": ""LineString""}"
En exploitation;42.62423772851918, 9.429722697215052;"{""coordinates"": [[9.4297108, 42.6241635], [9.429687, 42.6242071], [9.4297428, 42.6242669], [9.4297721, 42.6243103]], ""type"": ""LineString""}"
En exploitation;42.59669661384251, 9.497613421247886;"{""coordinates"": [[9.4976604, 42.5966862], [9.4976482, 42.5966869], [9.497596, 42.5966901], [9.4975871, 42.5967209], [9.4975846, 42.5967297]], ""type"": ""LineString""}"
En exploitation;42.62461288151867, 9.429231238710583;"{""coordinates"": [[9.4292743, 42.6246471], [9.4291924, 42.624582], [9.429188, 42.6245789]], ""type"": ""LineString""}"
En exploitation;42.596253721020275, 9.498829010463467;"{""coordinates"": [[9.4986769, 42.596468], [9.4986895, 42.596413], [9.4989569, 42.5961404], [9.4988749, 42.5960561], [9.4988713, 42.5960524]], ""type"": ""LineString""}"
En exploitation;42.63931421998072, 9.461072840506096;"{""coordinates"": [[9.4604994, 42.6401078], [9.4605039, 42.6400878], [9.4605147, 42.6397082], [9.4608844, 42.6393305], [9.4613468, 42.638911], [9.46138, 42.6389071], [9.4619936, 42.6390485]], ""type"": ""LineString""}"
En exploitation;42.59613234414357, 9.497931533958084;"{""coordinates"": [[9.4981158, 42.5961726], [9.4981106, 42.5961749], [9.4980377, 42.5962064], [9.4978874, 42.59612], [9.4977999, 42.5960829], [9.4978382, 42.5960132], [9.4978391, 42.5960114], [9.4978404, 42.596009]], ""type"": ""LineString""}"
En exploitation;42.63959048825087, 9.459987281479053;"{""coordinates"": [[9.4601984, 42.6396406], [9.4598098, 42.6395483], [9.459776, 42.6395411]], ""type"": ""LineString""}"
En exploitation;42.59654854894744, 9.498586884024743;"{""coordinates"": [[9.4986756, 42.5965976], [9.4986707, 42.5965762], [9.4986265, 42.5965519], [9.4986068, 42.5965423], [9.4985966, 42.5965483], [9.4985798, 42.5965412], [9.4985642, 42.596553], [9.498499, 42.5965182], [9.4984897, 42.596516], [9.4984877, 42.5965155], [9.4984839, 42.5965146]], ""type"": ""LineString""}"
En exploitation;42.63788773788974, 9.429011476683858;"{""coordinates"": [[9.4290665, 42.6376427], [9.4290619, 42.637643], [9.4290604, 42.6376431], [9.4290169, 42.6376398], [9.4290005, 42.6381809]], ""type"": ""LineString""}"
En exploitation;42.5971091844245, 9.499859903914796;"{""coordinates"": [[9.4999846, 42.5971671], [9.4999293, 42.5970829], [9.4999027, 42.5970797], [9.4997516, 42.5971309], [9.4997414, 42.5970834], [9.4997403, 42.5970799], [9.4997399, 42.5970791]], ""type"": ""LineString""}"
En exploitation;42.63820696907779, 9.429309610274977;"{""coordinates"": [[9.4293086, 42.6381824], [9.4293072, 42.6381869], [9.4293103, 42.6382138], [9.4293124, 42.6382317]], ""type"": ""LineString""}"
En exploitation;42.59634511988707, 9.498771019903614;"{""coordinates"": [[9.4988714, 42.5962692], [9.4988497, 42.5962695], [9.4987255, 42.5964043], [9.4986869, 42.5963906], [9.4986693, 42.5963844], [9.4986641, 42.5963821]], ""type"": ""LineString""}"
En exploitation;42.63834640610467, 9.42913862135403;"{""coordinates"": [[9.4293124, 42.6382317], [9.4292098, 42.6383816], [9.4291459, 42.6383583], [9.4290487, 42.6383644], [9.4289171, 42.6383905]], ""type"": ""LineString""}"
En exploitation;42.5962279375857, 9.499114674920456;"{""coordinates"": [[9.4991623, 42.5963761], [9.4992086, 42.5963984], [9.4993045, 42.5963233], [9.4990613, 42.5960808], [9.498865, 42.5962507], [9.4988678, 42.5962656], [9.4988714, 42.5962692]], ""type"": ""LineString""}"
En exploitation;42.639179907690234, 9.427399416185937;"{""coordinates"": [[9.4277212, 42.6391777], [9.4276969, 42.6391791], [9.4275167, 42.6393167], [9.4272341, 42.6391986], [9.4272493, 42.638904], [9.4272493, 42.6389026], [9.4272494, 42.6388995]], ""type"": ""LineString""}"
En exploitation;42.59740846130071, 9.498929929769377;"{""coordinates"": [[9.4990667, 42.5973598], [9.4990959, 42.5973155], [9.4990358, 42.5972813], [9.4987814, 42.5975275], [9.4988561, 42.5975686], [9.4988572, 42.5975693], [9.498861, 42.5975713]], ""type"": ""LineString""}"
En exploitation;42.63851530745729, 9.429250424391123;"{""coordinates"": [[9.4293367, 42.6382303], [9.4291931, 42.6384326], [9.4292851, 42.6387945], [9.4292622, 42.6388045], [9.4292588, 42.6388066], [9.4292568, 42.6388077]], ""type"": ""LineString""}"
En exploitation;42.59666520747912, 9.498913088168933;"{""coordinates"": [[9.4986819, 42.5964925], [9.4986574, 42.5964977], [9.4988873, 42.596637], [9.4988977, 42.5966536], [9.498924, 42.59667], [9.4989514, 42.5966954], [9.4989906, 42.5967291], [9.499174, 42.5968351], [9.499169, 42.5968476], [9.4991672, 42.5968518]], ""type"": ""LineString""}"
En exploitation;42.63904492682867, 9.429355889567054;"{""coordinates"": [[9.4292568, 42.6388077], [9.4292944, 42.6388145], [9.4293459, 42.6390552], [9.429421, 42.6392231], [9.4294442, 42.639275], [9.4294364, 42.6392983], [9.4294357, 42.6393004], [9.429435, 42.6393026]], ""type"": ""LineString""}"
En exploitation;42.59702380166435, 9.499159909279344;"{""coordinates"": [[9.4991672, 42.5968518], [9.4991994, 42.5968435], [9.4993159, 42.5969392], [9.499084, 42.5971612], [9.4989578, 42.5970952], [9.4989848, 42.5970645], [9.4989866, 42.5970625], [9.4989881, 42.5970608]], ""type"": ""LineString""}"
En exploitation;42.63947383571416, 9.429548783679813;"{""coordinates"": [[9.429435, 42.6393026], [9.4294593, 42.6393011], [9.4296204, 42.6395351], [9.4295808, 42.6396189], [9.4295232, 42.6396495]], ""type"": ""LineString""}"
En exploitation;42.59735770154065, 9.498790804094648;"{""coordinates"": [[9.4987957, 42.5970682], [9.4988007, 42.5970656], [9.4988291, 42.5970508], [9.4990534, 42.5971792], [9.4990221, 42.5972681], [9.4987051, 42.5975663], [9.4986445, 42.5975878], [9.4984198, 42.5974512], [9.4984583, 42.5974126]], ""type"": ""LineString""}"
En exploitation;42.63957807690062, 9.429213760904462;"{""coordinates"": [[9.4295232, 42.6396495], [9.4294501, 42.639654], [9.4293227, 42.6396076], [9.4291079, 42.6395486], [9.4289054, 42.6394887]], ""type"": ""LineString""}"
