Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
CANET;CANET;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
CARP5;CARPENTIER;Poste de transformation;EN EXPLOITATION;90kV;Manche
LAUR5;LAURAGAIS;Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
AVRIL;AVRILLE;Poste de transformation;EN EXPLOITATION;90kV;Maine-et-Loire
M.AME;MINE AMELIE (LA);Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
ZBARM;PIQUAGE A BARMAINVILLE;Point de piquage;EN EXPLOITATION;90kV;Eure-et-Loir
H.LOG;HAUTE-LOGE;Poste de transformation;EN EXPLOITATION;90kV;Nord
C.HIN;CROIX-D HINS;Poste de transformation;EN EXPLOITATION;63kV;Gironde
C.LO5;CHATEAU-DU-LOIR;Poste de transformation;EN EXPLOITATION;90kV;Sarthe
RAMBE;RAMBERVILLERS;Poste de transformation;EN EXPLOITATION;63kV;Vosges
MARNI;MARNISE (LA);Poste de transformation;EN EXPLOITATION;225kV;Ain
FEYSS;FEYSSINE(LA);Poste de transformation;EN EXPLOITATION;63kV;Rhône
FLECH;FLECHE (LA);Poste de transformation;EN EXPLOITATION;90kV;Sarthe
FLAND;FLANDRE;Poste de transformation;EN EXPLOITATION;225kV;Paris
FOUTE;FOUTEIN;Poste de transformation;EN EXPLOITATION;225kV;Nord
P.HA5;PLAINE HAUTE;Poste de transformation;EN EXPLOITATION;400kV;Côtes-d'Armor
FTOY;FONTOY;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
FUGER;FUGEROLLE;Poste de transformation;EN EXPLOITATION;63kV;Drôme
REFRA;REFRAIN (LE);Poste de transformation;EN EXPLOITATION;63kV;Doubs
CROIS;CROISSANT (LE);Poste de transformation;EN EXPLOITATION;90kV;Calvados
CRUA5;CRUAS (-MEYSSE);Poste de transformation;EN EXPLOITATION;400kV;Ardèche
CTAUN;CHATEAUNEUF;Poste de transformation;EN EXPLOITATION;63kV;Ardèche
CZTRY;COURTRY;Poste de transformation;EN EXPLOITATION;225kV;Seine-et-Marne
DECHY;DECHY;Poste de transformation;EN EXPLOITATION;225kV;Nord
LONG9;LONGUENESSE;Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
FREVE;FREVENT;Poste de transformation;EN EXPLOITATION;90kV;Pas-de-Calais
CARHA;CARHAIX;Poste de transformation;EN EXPLOITATION;63kV;Finistère
ZCREV;PIQUAGE A CHOISY-EN-BRIE;Point de piquage;EN EXPLOITATION;63kV;Seine-et-Marne
ZCRO7;PIQUAGE A LE BREUIL-EN-AUGE;Point de piquage;EN EXPLOITATION;90kV;Calvados
CRESS;CRESSANGES;Poste de transformation;EN EXPLOITATION;63kV;Allier
MEYZI;MEYZIEU;Poste de transformation;EN EXPLOITATION;225kV;Rhône
MUHLB;MUHLBACH;Poste de transformation;EN EXPLOITATION;400kV;Haut-Rhin
G.HAM;GRAND HAMEAU (LE);Poste de transformation;EN EXPLOITATION;90kV;Eure
ZP.MI;P.MIT / MEZEA PINT5 1;Point de piquage;EN EXPLOITATION;90kV;Vienne
ZP.SA;P.SAC / SSCL5 VOUGL 1;Point de piquage;EN EXPLOITATION;63kV;Jura
CRUSE;CRUSEILLES;Poste de transformation;EN EXPLOITATION;225kV;Haute-Savoie
CXMET;CHAUMETTE;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
VARE5;VARENNES (-SUR-FOUZON);Poste de transformation;EN EXPLOITATION;225kV;Indre
PRIE5;PRIEURE (LE) (S.N.C.F.);Poste de transformation;EN EXPLOITATION;90kV;Vienne
GAEL;GAEL;Poste de transformation;EN EXPLOITATION;90kV;Côtes-d'Armor
GARD7;GARDE (LA);Poste de transformation;EN EXPLOITATION;225kV;Var
DORDI;DORDIVES;Poste de transformation;EN EXPLOITATION;90kV;Seine-et-Marne
DTPS;DTPS;Poste de transformation;EN EXPLOITATION;63kV;Moselle
B.MON;BEAUMONT-MONTEUX;Poste de transformation;EN EXPLOITATION;400kV;Drôme
BXCH5;BEAUCHAMPS;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
CANTE;CANTEGRIT;Poste de transformation;EN EXPLOITATION;400kV;Landes
CPNI5;CHAMPNIERS;Poste de transformation;EN EXPLOITATION;90kV;Charente
CABAS;CABASSE;Poste de transformation;EN EXPLOITATION;63kV;Var
DAMPJ;DAMPJOUX;Poste de transformation;EN EXPLOITATION;63kV;Doubs
DINAR;DINARD;Poste de transformation;EN EXPLOITATION;63kV;Ille-et-Vilaine
DOCEL;DOCELLES;Poste de transformation;EN EXPLOITATION;63kV;Vosges
A.COM;AVESNES-LE-COMTE;Poste de transformation;EN EXPLOITATION;225kV;Pas-de-Calais
1B.E5;BELLE-ETOILE (RHODIACETA) /BELLE-ETOILE 10KV;Poste de transformation;EN EXPLOITATION;<45kV;Rhône
BOISS;BOISSE (LA);Poste de transformation;EN EXPLOITATION;400kV;Ain
H.BOR;HAUTE-BORNE;Poste de transformation;EN EXPLOITATION;225kV;Val-d'Oise
REVI5;REVIN POSTE-CENTRALE;Poste de transformation;EN EXPLOITATION;400kV;Ardennes
AMBE5;AMBERT;Poste de transformation;EN EXPLOITATION;63kV;Puy-de-Dôme
CORGO;CORGOLOIN;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
ZDOUD;PIQUAGE DOUDOYE;Point de piquage;EN EXPLOITATION;63kV;Nièvre
ZE.CI;PIQUAGE EBANGE-CIMENTERIE (Ligne BXRE5Z31SSHUB);Point de piquage;EN EXPLOITATION;63kV;Moselle
ZESPA;PIQUAGE ESPALUNGUE (LIAISON E.BONZ31HOURA);Point de piquage;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ZROB5;PIQUAGE ROBINSON A LE PLESSIS-ROBINSON (ZROB5);Point de piquage;EN EXPLOITATION;225kV;Yvelines
ZRUMI;RUMIN / ATTAQ HOLQU 2;Point de piquage;EN EXPLOITATION;225kV;Pas-de-Calais
CREUT;CREUTZWALD;Poste de transformation;EN EXPLOITATION;63kV;Moselle
CZCEL;COURCELLES;Poste de transformation;EN EXPLOITATION;225kV;Hauts-de-Seine
T.DOM;TROIS DOMAINES;Poste de transformation;EN EXPLOITATION;225kV;Meuse
TALUS;TALUS (LES);Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
GORBE;GORBELLA;Poste de transformation;EN EXPLOITATION;63kV;Alpes-Maritimes
GOURI;GOURIN;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
F.BER;FERTE-BERNARD (LA);Poste de transformation;EN EXPLOITATION;90kV;Sarthe
F.RAF;FEYZIN RAFFINERIE;Poste de transformation;EN EXPLOITATION;63kV;Rhône
FEURS;FEURS;Poste de transformation;EN EXPLOITATION;225kV;Loire
B.RE6;BOIS DE RENAN;Poste de transformation;EN EXPLOITATION;63kV;Haute-Saône
VOLVI;VOLVIC;Poste de transformation;EN EXPLOITATION;225kV;Puy-de-Dôme
VOUZO;VOUZON;Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
CASSE;CASSEAUX (LES);Poste de transformation;EN EXPLOITATION;90kV;Haute-Vienne
F.MAR;FLANDRE MARITIME;Poste de transformation;ACCORD ADMINISTRATIF;400kV;Pas-de-Calais
CUBNE;CUBNEZAIS;Poste de transformation;EN EXPLOITATION;400kV;Gironde
BVUE;BELLEVUE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Loire
CAPEL;CAPELLE (LA);Poste de transformation;EN EXPLOITATION;400kV;Aisne
ISSOU;ISSOU;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
GROUL;GROULLES;Poste de transformation;EN EXPLOITATION;63kV;Alpes-Maritimes
COL.N;COLMAR-NORD;Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
CARDI;CARDINET;Poste de transformation;EN EXPLOITATION;225kV;Hauts-de-Seine
MARM5;MARMANDE;Poste de transformation;EN EXPLOITATION;63kV;Lot-et-Garonne
BRAIN;BRAINS;Poste de transformation;EN EXPLOITATION;225kV;Loire-Atlantique
ZM.FE;PIQUAGE MOTHE FENELON (LIAISON FEROUZ31GOURD);Point de piquage;EN EXPLOITATION;63kV;Dordogne
ZNAUS;NAUSS / LANG8 ZPRA5 1;Point de piquage;EN EXPLOITATION;63kV;Lozère
ZFRO6;PIQUAGE FROMAINVILLE A ACHERES (ZFRO6);Point de piquage;EN EXPLOITATION;225kV;Yvelines
ZKERH;PIQUAGE A BRECH (KERHELLEGAN);Point de piquage;EN EXPLOITATION;63kV;Morbihan
BARBE;BARBEZIEUX;Poste de transformation;EN EXPLOITATION;90kV;Charente
GUER;GUER;Poste de transformation;EN EXPLOITATION;90kV;Morbihan
ZMAS5;PIQUAGE MASSY A MASSY (ZMAS5);Point de piquage;EN EXPLOITATION;225kV;Essonne
VAYRE;VAYRES;Poste de transformation;EN EXPLOITATION;63kV;Gironde
MAYEN;MAYENNE;Poste de transformation;EN EXPLOITATION;90kV;Mayenne
HOSPI;HOSPITALET (L );Poste de transformation;EN EXPLOITATION;225kV;Ariège
ZLESU;PIQUAGE A LIEUSAINT;Point de piquage;EN EXPLOITATION;63kV;Essonne
ZGIRO;PIQUAGE GIROUFLAT (LIAISON CSLJAZ31GUPIE);Point de piquage;EN EXPLOITATION;63kV;Lot-et-Garonne
ZHERI;PIQUAGE HERIMENIL;Point de piquage;EN EXPLOITATION;63kV;Meurthe-et-Moselle
