statut;geo_point_2d;geo_shape
En exploitation;41.98042819739384, 8.796795453078952;"{""coordinates"": [[8.7968806, 41.9804325], [8.7968747, 41.9804321], [8.7967103, 41.980424]], ""type"": ""LineString""}"
En exploitation;41.98021847072323, 8.796086083989263;"{""coordinates"": [[8.7967103, 41.980424], [8.7962846, 41.980403], [8.7962783, 41.9804028], [8.7960139, 41.9803959], [8.7959072, 41.9803963], [8.7959014, 41.9802405], [8.7958951, 41.9800672], [8.7957403, 41.9796674], [8.7957373, 41.9796591]], ""type"": ""LineString""}"
En exploitation;41.987559885163805, 8.796818406283066;"{""coordinates"": [[8.7971432, 41.9875751], [8.7969391, 41.9875827], [8.7966853, 41.9875923], [8.7966848, 41.9875923], [8.7966731, 41.9875927], [8.7965611, 41.9874226], [8.7965586, 41.9874186]], ""type"": ""LineString""}"
En exploitation;41.989998882629465, 8.79579642820106;"{""coordinates"": [[8.7951029, 41.9902644], [8.7951076, 41.9902616], [8.7954003, 41.9900821], [8.7956384, 41.9899361], [8.7958112, 41.9899333], [8.7961961, 41.9899269], [8.7965446, 41.989921]], ""type"": ""LineString""}"
En exploitation;41.989261941676205, 8.793779675555378;"{""coordinates"": [[8.7936133, 41.9897505], [8.7936908, 41.9895228], [8.7939461, 41.9887734]], ""type"": ""LineString""}"
En exploitation;41.994574909004335, 8.795490586664997;"{""coordinates"": [[8.7953517, 41.9941463], [8.795596, 41.9945957], [8.7955463, 41.9947159], [8.795423, 41.9950145]], ""type"": ""LineString""}"
En exploitation;41.99338210325231, 8.79976219814509;"{""coordinates"": [[8.7993446, 41.9931439], [8.8001186, 41.9935854], [8.8001798, 41.9936203]], ""type"": ""LineString""}"
En exploitation;41.99275989854653, 8.799668598850044;"{""coordinates"": [[8.7993446, 41.9931439], [8.799903, 41.9924821], [8.7999894, 41.9923796], [8.7999917, 41.9923769], [8.7999926, 41.9923759]], ""type"": ""LineString""}"
En exploitation;41.96928643250368, 8.794181062478124;"{""coordinates"": [[8.7942694, 41.9696201], [8.7940939, 41.9689572], [8.7940926, 41.9689528]], ""type"": ""LineString""}"
En exploitation;41.971229050000005, 8.7943178;"{""coordinates"": [[8.7941344, 41.9713884], [8.7945012, 41.9710697]], ""type"": ""LineString""}"
